##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;(транзит);;;x
PROV681;Shreveport;Shreveport;Shreveport;Shreveport;Shreveport;Shreveport;;Александрия;;;X
PROV682;Monroe;Monroe;Monroe;Monroe;Monroe;Monroe;;Монро;;;X
PROV683;Little Rock;Little Rock;Little Rock;Little Rock;Little Rock;Little Rock;;Пайн-Блафф;;;X
PROV684;Jonesboro;Jonesboro;Jonesboro;Jonesboro;Jonesboro;Jonesboro;;Литл-Рок;;;X
PROV685;Deharadun;Deharadun;Deharadun;Deharadun;Deharadun;Deharadun;;Джонсборо;;;X
PROV686;Austin;Austin;Austin;Austin;Austin;Austin;;Форт-Смит;;;X
PROV687;Simla;Simla;Simla;Simla;Simla;Њimla;;Кейп-Жирардо;;;X
PROV688;Springfield, MO;Springfield, MO;Springfield, MO;Springfield, MO;Springfield, MO;Springfield, MO;;Спрингфилд;;;X
PROV689;Saint Louis;Saint Louis;Saint Louis;Saint Louis;Saint Louis;Saint Louis;;Сент-Луис;;;X
PROV690;Saint Joseph;Saint Joseph;Saint Joseph;Saint Joseph;Saint Joseph;Saint Joseph;;Канзас-Сити;;;X
PROV691;Cedar Rapids;Cedar Rapids;Cedar Rapids;Cedar Rapids;Cedar Rapids;Cedar Rapids;;Сидар-Рапидс;;;X
PROV692;Unalaska;Unalaska;Unalaska;Unalaska;Unalaska;Unalaska;;Де-Мойн;;;X
PROV693;Rochester;Rochester;Rochester;Rochester;Rochester;Rochester;;Миннеаполис;;;X
PROV694;Saint Paul;Saint Paul;Saint Paul;Saint Paul;Saint Paul;Saint Paul;;Дулут;;;X
PROV695;Jingxi;Jingxi;Jingxi;Jingxi;Jingxi;Jingxi;;Мурхед;;;X
PROV696;Kouang-Tcheou-Wan;Kouang-Tcheou-Wan;Kouang-Tcheou-Wan;Kouang-Tcheou-Wan;Kouang-Tcheou-Wan;Kouang-Tcheou-Wan;;Уортингтон;;;X
PROV697;Aurangabad;Aurangabad;Aurangabad;Aurangabad;Aurangabad;Aurangabad;;Фарго;;;X
PROV698;Fargo;Fargo;Fargo;Fargo;Fargo;Fargo;;Бисмарк;;;X
PROV699;Bismarck;Bismarck;Bismarck;Bismarck;Bismarck;Bismarck;;Дикинсон;;;X
PROV700;ad-Dauha;ad-Dauha;ad-Dauha;ad-Dauha;ad-Dauha;ad-Dauha;;Форт-Пек;;;X
PROV701;Miles City;Miles City;Miles City;Miles City;Miles City;Miles City;;Милс-Сити;;;X
PROV702;Rayachuru;Rayachuru;Rayachuru;Rayachuru;Rayachuru;Rayachuru;;Додсон;;;X
PROV703;Solapur;Solapur;Solapur;Solapur;Solapur;Solapur;;Биллингс;;;X
PROV704;Casper;Casper;Casper;Casper;Casper;Casper;;Каспер;;;X
PROV705;Billings;Billings;Billings;Billings;Billings;Billings;;Рок-Спрингс;;;X
PROV706;Aspen;Aspen;Aspen;Aspen;Aspen;Aspen;;Гранд-Джанкшен;;;X
PROV707;Denver;Denver;Denver;Denver;Denver;Denver;;Денвер;;;X
PROV708;Grand Junction;Grand Junction;Grand Junction;Grand Junction;Grand Junction;Grand Junction;;Аспен;;;X
PROV709;Colorado Springs;Colorado Springs;Colorado Springs;Colorado Springs;Colorado Springs;Colorado Springs;;Пуэбло;;;X
PROV710;Arbil;Arbil;Arbil;Arbil;Arbil;Arbil;;Додж-Сити;;;X
PROV711;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;;Уичито;;;X
PROV712;Pueblo;Pueblo;Pueblo;Pueblo;Pueblo;Pueblo;;Инид;;;X
PROV713;Lawton;Lawton;Lawton;Lawton;Lawton;Lawton;;Оклахома;;;X
PROV714;Jabalpur;Jabalpur;Jabalpur;Jabalpur;Jabalpur;Jabalpur;;Лотон;;;X
PROV715;Dallas;Dallas;Dallas;Dallas;Dallas;Dallas;;Даллас;;;X
PROV716;Houston;Houston;Houston;Houston;Houston;Houston;;Хьюстон;;;X
PROV717;San Antonio;San Antonio;San Antonio;San Antonio;San Antonio;San Antonio;;Сан-Антонио;;;X
PROV718;El Paso;El Paso;El Paso;El Paso;El Paso;El Paso;;Эль-Пасо;;;X
PROV719;Lubbock;Lubbock;Lubbock;Lubbock;Lubbock;Lubbock;;Абилин;;;X
PROV720;Yulin;Yulin;Yulin;Yulin;Yulin;Yulin;;Амарильо;;;X
PROV721;Amarillo;Amarillo;Amarillo;Amarillo;Amarillo;Amarillo;;Лаббок;;;X
PROV722;Bhopal;Bhopal;Bhopal;Bhopal;Bhopal;Bhopal;;Розуэлл;;;X
PROV723;San Jose de David;San Jose de David;San Jose de David;San Jose de David;San Jose de David;San Jose de David;;Лас-Крусес;;;X
PROV724;Roswell;Roswell;Roswell;Roswell;Roswell;Roswell;;Альбукерке;;;X
PROV725;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;Santa Fe;;Санта-Фе;;;X
PROV726;Pune;Pune;Pune;Pune;Pune;Pune;;Лос-Аламос;;;X
PROV727;Albuquerque;Albuquerque;Albuquerque;Albuquerque;Albuquerque;Albuquerque;;Сильвер-Сити;;;X
PROV728;Phoenix;Phoenix;Phoenix;Phoenix;Phoenix;Phoenix;;Таксон;;;X
PROV729;Warangal;Warangal;Warangal;Warangal;Warangal;Warangal;;Юма;;;X
PROV730;Tucson;Tucson;Tucson;Tucson;Tucson;Tucson;;Финикс;;;X
PROV731;Flagstaff;Flagstaff;Flagstaff;Flagstaff;Flagstaff;Flagstaff;;пик Делано;;;X
PROV732;Rock Springs;Rock Springs;Rock Springs;Rock Springs;Rock Springs;Rock Springs;;Прово;;;X
PROV733;Salt Lake City;Salt Lake City;Salt Lake City;Salt Lake City;Salt Lake City;Salt Lake City;;Солт-Лейк-Сити;;;X
PROV734;Las Vegas;Las Vegas;Las Vegas;Las Vegas;Las Vegas;Las Vegas;;Лас-Вегас;;;X
PROV735;San Bernardino;San Bernardino;San Bernardino;San Bernardino;San Bernardino;San Bernardino;;пустыня Мохаве;;;X
PROV736;Dharmsala;Dharmsala;Dharmsala;Dharmsala;Dharmsala;Dharmsala;;долина Импириал;;;X
PROV737;Tijuana;Tijuana;Tijuana;Tijuana;Tijuana;Tijuana;;Мехикали;;;X
PROV738;Guadalajara;Guadalajara;Guadalajara;Guadalajara;Guadalajara;Guadalajara;;Сан-Лукас;;;X
PROV739;Hermosillo;Hermosillo;Hermosillo;Hermosillo;Hermosillo;Hermosillo;;Эрмосильо;;;X
PROV740;Ciudad Juбrez;Ciudad Juбrez;Ciudad Juбrez;Ciudad Juбrez;Ciudad Juбrez;Ciudad Juбrez;;Ногалес;;;X
PROV741;Puebla;Puebla;Puebla;Puebla;Puebla;Puebla;;Сьюдад-Хуарес;;;X
PROV742;Saltillo;Saltillo;Saltillo;Saltillo;Saltillo;Saltillo;;Чиуауа;;;X
PROV743;Culiacбn Rosales;Culiacбn Rosales;Culiacбn Rosales;Culiacбn Rosales;Culiacбn Rosales;Culiacбn Rosales;;Кульякан;;;X
PROV744;Aguascalientes;Aguascalientes;Aguascalientes;Aguascalientes;Aguascalientes;Aguascalientes;;Дуранго;;;X
PROV745;Monterrey;Monterrey;Monterrey;Monterrey;Monterrey;Monterrey;;Монклова;;;X
PROV746;Yaxian;Yaxian;Yaxian;Yaxian;Yaxian;Yaxian;;Озона;;;X
PROV747;Leуn de los Aldama;Leуn de los Aldama;Leуn de los Aldama;Leуn de los Aldama;Leуn de los Aldama;Leуn de los Aldama;;Монтеррей;;;X
PROV748;Corpus Christi;Corpus Christi;Corpus Christi;Corpus Christi;Corpus Christi;Corpus Christi;;Корпус-Кристи;;;X
PROV749;Matamoros;Matamoros;Matamoros;Matamoros;Matamoros;Matamoros;;Тампико;;;X
PROV750;Morelia;Morelia;Morelia;Morelia;Morelia;Morelia;;Леон;;;X
PROV751;Acapulco de Juбrez;Acapulco de Juбrez;Acapulco de Juбrez;Acapulco de Juбrez;Acapulco de Juбrez;Acapulco de Juбrez;;Гвадалахара;;;X
PROV752;Ciudad de Mйxico;Ciudad de Mйxico;Ciudad de Mйxico;Ciudad de Mйxico;Ciudad de Mйxico;Ciudad de Mйxico;;Мехико;;;X
PROV753;Veracruz;Veracruz;Veracruz;Veracruz;Veracruz;Veracruz;;Пуэбла;;;X
PROV754;Oaxaca de Juбrez;Oaxaca de Juбrez;Oaxaca de Juбrez;Oaxaca de Juбrez;Oaxaca de Juбrez;Oaxaca de Juбrez;;Акапулько;;;X
PROV755;Tuxtla Gutiйrrez;Tuxtla Gutiйrrez;Tuxtla Gutiйrrez;Tuxtla Gutiйrrez;Tuxtla Gutiйrrez;Tuxtla Gutiйrrez;;Вилья-Эрмоса;;;X
PROV756;Mйrida;Mйrida;Mйrida;Mйrida;Mйrida;Mйrida;;Мерида;;;X
PROV757;Guatemala;Guatemala;Guatemala;Guatemala;Guatemala;Guatemala;;Гватемала;;;X
PROV758;Belize City;Belize City;Belize City;Belize City;Belize City;Belize City;;Белиз;;;X
PROV759;San Salvador;San Salvador;San Salvador;San Salvador;San Salvador;San Salvador;;Сан-Сальвадор;;;X
PROV760;Tegucigalpa;Tegucigalpa;Tegucigalpa;Tegucigalpa;Tegucigalpa;Tegucigalpa;;Тегусигальпа;;;X
PROV761;San Diego;San Diego;San Diego;San Diego;San Diego;San Diego;;Сан-Диего;;;X
PROV762;Los Angeles;Los Angeles;Los Angeles;Los Angeles;Los Angeles;Los Angeles;;Лос-Анджелос;;;X
PROV763;Fresno;Fresno;Fresno;Fresno;Fresno;Fresno;;Фресно;;;X
PROV764;Sacramento;Sacramento;Sacramento;Sacramento;Sacramento;Sacramento;;Сакраменто;;;X
PROV765;San Francisco;San Francisco;San Francisco;San Francisco;San Francisco;San Francisco;;Сан-Франциско;;;X
PROV766;Eureka;Eureka;Eureka;Eureka;Eureka;Eureka;;Реддинг;;;X
PROV767;Saint George;Saint George;Saint George;Saint George;Saint George;Saint George;;Сьерра-Невада;;;X
PROV768;Reno;Reno;Reno;Reno;Reno;Reno;;Рено;;;X
PROV769;Nizamabad;Nizamabad;Nizamabad;Nizamabad;Nizamabad;Nizamabad;;Лейквью;;;X
PROV770;Idaho Falls;Idaho Falls;Idaho Falls;Idaho Falls;Idaho Falls;Idaho Falls;;Покателло;;;X
PROV771;Nalgonda;Nalgonda;Nalgonda;Nalgonda;Nalgonda;Nalgonda;;Бойсе;;;X
PROV772;Missoula;Missoula;Missoula;Missoula;Missoula;Missoula;;Анаконда;;;X
PROV773;Koyamputtur;Koyamputtur;Koyamputtur;Koyamputtur;Koyamputtur;Koyamputtur;;Миссула;;;X
PROV774;Celam;Celam;Celam;Celam;Celam;Celam;;Грейт-Фоллс;;;X
PROV775;Maisuru;Maisuru;Maisuru;Maisuru;Maisuru;Maisuru;;Бьютт;;;X
PROV776;Boise;Boise;Boise;Boise;Boise;Boise;;Льюистон;;;X
PROV777;Putucceri;Putucceri;Putucceri;Putucceri;Putucceri;Putucceri;;Элк-Сити;;;X
PROV778;Grants Pass;Grants Pass;Grants Pass;Grants Pass;Grants Pass;Grants Pass;;Бейкер;;;X
PROV779;Yakima;Yakima;Yakima;Yakima;Yakima;Yakima;;Спокан;;;X
PROV780;Seattle;Seattle;Seattle;Seattle;Seattle;Seattle;;Сиэтл;;;X
PROV781;Adilabad;Adilabad;Adilabad;Adilabad;Adilabad;Adilabad;;Ричленд;;;X
PROV782;Tacoma;Tacoma;Tacoma;Tacoma;Tacoma;Tacoma;;Такома;;;X
PROV783;Portland, OR;Portland, OR;Portland, OR;Portland, OR;Portland, OR;Portland, OR;;Портленд;;;X
PROV784;Bend;Bend;Bend;Bend;Bend;Bend;;Маунт-Худ;;;X
PROV785;Nagpur;Nagpur;Nagpur;Nagpur;Nagpur;Nagpur;;Кламат-Фолс;;;X
PROV786;Eugene;Eugene;Eugene;Eugene;Eugene;Eugene;;Юджен;;;X
PROV787;Rapid City;Rapid City;Rapid City;Rapid City;Rapid City;Rapid City;;Рэпид-Сити;;;X
PROV788;Sioux Falls;Sioux Falls;Sioux Falls;Sioux Falls;Sioux Falls;Sioux Falls;;Сиу-Фоллс;;;X
PROV789;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;;Омаха;;;X
PROV790;Omaha;Omaha;Omaha;Omaha;Omaha;Omaha;;Скотсблаф;;;X
PROV791;Balangir;Balangir;Balangir;Balangir;Balangir;Balangir;;Салайна;;;X
PROV792;Kansas City, KS;Kansas City, KS;Kansas City, KS;Kansas City, KS;Kansas City, KS;Kansas City, KS;;Топека;;;X
PROV793;Oklahoma City;Oklahoma City;Oklahoma City;Oklahoma City;Oklahoma City;Oklahoma City;;Талса;;;X
PROV794;Charlotte Amalie;Charlotte Amalie;Charlotte Amalie;Charlotte Amalie;Charlotte Amalie;Charlotte Amalie;;Форт-Резолюшн;;;X
PROV795;The Valley;The Valley;The Valley;The Valley;The Valley;The Valley;;Принс-Альберт;;;X
PROV796;Edmonton;Edmonton;Edmonton;Edmonton;Edmonton;Edmonton;;Эдмонтон;;;X
PROV797;Calgary;Calgary;Calgary;Calgary;Calgary;Calgary;;Калгари;;;X
PROV798;Saskatoon;Saskatoon;Saskatoon;Saskatoon;Saskatoon;Saskatoon;;Саскатун;;;X
PROV799;Regina;Regina;Regina;Regina;Regina;Regina;;Реджайна;;;X
PROV800;Nuuk;Nuuk;Nuuk;Nuuk;Nuuk;Nuuk;;Гренландия;;;X
PROV801;Willemstad;Willemstad;Willemstad;Willemstad;Willemstad;Willemstad;;Кюрасао;;;X
PROV802;Barquisimeto;Barquisimeto;Barquisimeto;Barquisimeto;Barquisimeto;Barquisimeto;;Баркисимето;;;X
PROV803;Cъcuta;Cъcuta;Cъcuta;Cъcuta;Cъcuta;Cъcuta;;Барранкилья;;;X
PROV804;Maracaibo;Maracaibo;Maracaibo;Maracaibo;Maracaibo;Maracaibo;;Маракайбо;;;X
PROV805;Castries;Castries;Castries;Castries;Castries;Castries;;Сент-Люсия;;;X
PROV806;Saint George's;Saint George's;Saint George's;Saint George's;Saint George's;Saint George's;;Гренада;;;X
PROV807;Bridgetown;Bridgetown;Bridgetown;Bridgetown;Bridgetown;Bridgetown;;Барбадос;;;X
PROV808;Scarborough;Scarborough;Scarborough;Scarborough;Scarborough;Scarborough;;Тобаго;;;X
PROV809;Port-of-Spain;Port-of-Spain;Port-of-Spain;Port-of-Spain;Port-of-Spain;Port-of-Spain;;Тринидад;;;X
PROV810;Maturнn;Maturнn;Maturнn;Maturнn;Maturнn;Maturнn;;Кумана;;;X
PROV811;Barinas;Barinas;Barinas;Barinas;Barinas;Barinas;;Каракас;;;X
PROV812;Santa Fe de Bogotб;Santa Fe de Bogotб;Santa Fe de Bogotб;Santa Fe de Bogotб;Santa Fe de Bogotб;Santa Fe de Bogotб;;Кукута;;;X
PROV813;Medellнn;Medellнn;Medellнn;Medellнn;Medellнn;Medellнn;;Богота;;;X
PROV814;Guayaquil;Guayaquil;Guayaquil;Guayaquil;Guayaquil;Guayaquil;;Гваякиль;;;X
PROV815;Quito;Quito;Quito;Quito;Quito;Quito;;Кито;;;X
PROV816;Trujillo;Trujillo;Trujillo;Trujillo;Trujillo;Trujillo;;Трухильо;;;X
PROV817;Puyo;Puyo;Puyo;Puyo;Puyo;Puyo;;Эль-Тигре;;;X
PROV818;Iquitos;Iquitos;Iquitos;Iquitos;Iquitos;Iquitos;;Икитос;;;X
PROV819;Florencia;Florencia;Florencia;Florencia;Florencia;Florencia;;Миту;;;X
PROV820;Manacapuru;Manacapuru;Manacapuru;Manacapuru;Manacapuru;Manacapuru;;Солимоеш;;;X
PROV821;Pucallpa;Pucallpa;Pucallpa;Pucallpa;Pucallpa;Pucallpa;;Пукальпа;;;X
PROV822;Rio Branco;Rio Branco;Rio Branco;Rio Branco;Rio Branco;Rio Branco;;Риу-Бранку;;;X
PROV823;Tefй;Tefй;Tefй;Tefй;Tefй;Tefй;;Тефе;;;X
PROV824;Porto Velho;Porto Velho;Porto Velho;Porto Velho;Porto Velho;Porto Velho;;Манаус;;;X
PROV825;Marabб;Marabб;Marabб;Marabб;Marabб;Marabб;;Порту-Велью;;;X
PROV826;Recife;Recife;Recife;Recife;Recife;Recife;;Сантарен;;;X
PROV827;Santa Cruz de la Sierra;Santa Cruz de la Sierra;Santa Cruz de la Sierra;Santa Cruz de la Sierra;Santa Cruz de la Sierra;Santa Cruz de la Sierra;;Риберальта;;;X
PROV828;Cobija;Cobija;Cobija;Cobija;Cobija;Cobija;;Кобиха;;;X
PROV829;Cuzco;Cuzco;Cuzco;Cuzco;Cuzco;Cuzco;;Куско;;;X
PROV830;Lima;Lima;Lima;Lima;Lima;Lima;;Лима;;;X
PROV831;Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;Arequipa;;Арекипа;;;X
PROV832;La Paz;La Paz;La Paz;La Paz;La Paz;La Paz;;Ла-Пас;;;X
PROV833;Salto;Salto;Salto;Salto;Salto;Salto;;Лимокихе;;;X
PROV834;Cuiabб;Cuiabб;Cuiabб;Cuiabб;Cuiabб;Cuiabб;;Куяба;;;X
PROV835;Campo Grande;Campo Grande;Campo Grande;Campo Grande;Campo Grande;Campo Grande;;Мату-Гросу;;;X
PROV836;Trinidad;Trinidad;Trinidad;Trinidad;Trinidad;Trinidad;;Санта-Крус;;;X
PROV837;Villa Hayes;Villa Hayes;Villa Hayes;Villa Hayes;Villa Hayes;Villa Hayes;;Chaco;;;X
PROV838;Sucre;Sucre;Sucre;Sucre;Sucre;Sucre;;Сукре;;;X
PROV839;Iquique;Iquique;Iquique;Iquique;Iquique;Iquique;;Антофагаста;;;X
PROV840;Antofagasta;Antofagasta;Antofagasta;Antofagasta;Antofagasta;Antofagasta;;Сантьяго;;;X
PROV841;Verdun;Verdun;Verdun;Verdun;Verdun;Verdun;;Хуан-Фернандес;;;X
PROV842;Punta Arenas;Punta Arenas;Punta Arenas;Punta Arenas;Punta Arenas;Punta Arenas;;Сан-Феликс;;;X
PROV843;Salta;Salta;Salta;Salta;Salta;Salta;;Тукуман;;;X
PROV844;Resistencia;Resistencia;Resistencia;Resistencia;Resistencia;Resistencia;;Корриентес;;;X
PROV845;Rosario;Rosario;Rosario;Rosario;Rosario;Rosario;;Кордоба;;;X
PROV846;Asunciуn;Asunciуn;Asunciуn;Asunciуn;Asunciуn;Asunciуn;;Асунсьон;;;X
PROV847;Curitiba;Curitiba;Curitiba;Curitiba;Curitiba;Curitiba;;Куритиба;;;X
PROV848;Porto Alegre;Porto Alegre;Porto Alegre;Porto Alegre;Porto Alegre;Porto Alegre;;Порту-Алегри;;;X
PROV849;Montevideo;Montevideo;Montevideo;Montevideo;Montevideo;Montevideo;;Монтевидео;;;X
PROV850;Corrientes;Corrientes;Corrientes;Corrientes;Corrientes;Corrientes;;Конкордия;;;X
PROV851;Buenos Aires;Buenos Aires;Buenos Aires;Buenos Aires;Buenos Aires;Buenos Aires;;Росарио;;;X
PROV852;Cуrdoba;Cуrdoba;Cуrdoba;Cуrdoba;Cуrdoba;Cуrdoba;;Мар-дель-Плата;;;X
PROV853;San Miguel de Tucumбn;San Miguel de Tucumбn;San Miguel de Tucumбn;San Miguel de Tucumбn;San Miguel de Tucumбn;San Miguel de Tucumбn;;Баия-Бланка;;;X
PROV854;Mendoza;Mendoza;Mendoza;Mendoza;Mendoza;Mendoza;;Вьедма;;;X
PROV855;San Juan;San Juan;San Juan;San Juan;San Juan;San Juan;;Неукен;;;X
PROV856;Valparaiso;Valparaiso;Valparaiso;Valparaiso;Valparaiso;Valparaiso;;Пуэрто-Монт;;;X
PROV857;Mar del Plata;Mar del Plata;Mar del Plata;Mar del Plata;Mar del Plata;Mar del Plata;;Пуэрто-Мадрин;;;X
PROV858;Rio Gallegos;Rio Gallegos;Rio Gallegos;Rio Gallegos;Rio Gallegos;Rio Gallegos;;Комодоро-Ривадавия;;;X
PROV859;Comodoro Rivadavia;Comodoro Rivadavia;Comodoro Rivadavia;Comodoro Rivadavia;Comodoro Rivadavia;Comodoro Rivadavia;;Сан-Карлос-де-Барилоче;;;X
PROV860;Santiago de Chile;Santiago de Chile;Santiago de Chile;Santiago de Chile;Santiago de Chile;Santiago de Chile;;Пуэрто-Айсен;;;X
PROV861;Talcahuano;Talcahuano;Talcahuano;Talcahuano;Talcahuano;Talcahuano;;Веллингтон;;;X
PROV862;Neuquйn;Neuquйn;Neuquйn;Neuquйn;Neuquйn;Neuquйn;;Сармиенто;;;X
PROV863;Ushuaia;Ushuaia;Ushuaia;Ushuaia;Ushuaia;Ushuaia;;Гальегос;;;X
PROV864;Temuco;Temuco;Temuco;Temuco;Temuco;Temuco;;Пунта-Аренас;;;X
PROV865;Porvenir;Porvenir;Porvenir;Porvenir;Porvenir;Porvenir;;Огненная Земля;;;X
PROV866;Stanley;Stanley;Stanley;Stanley;Stanley;Stanley;;Фолкленды;;;X
PROV867;Villavicencio;Villavicencio;Villavicencio;Villavicencio;Villavicencio;Villavicencio;;Ангостура-Фолс;;;X
PROV868;Cali;Cali;Cali;Cali;Cali;Cali;;Инирида;;;X
PROV869;Ciudad Bolivar;Ciudad Bolivar;Ciudad Bolivar;Ciudad Bolivar;Ciudad Bolivar;Ciudad Bolivar;;Сьюдад-Боливар;;;X
PROV870;Caracas;Caracas;Caracas;Caracas;Caracas;Caracas;;Пуэрто-Ордас;;;X
PROV871;Bartica;Bartica;Bartica;Bartica;Bartica;Bartica;;Куюни;;;X
PROV872;Manaus;Manaus;Manaus;Manaus;Manaus;Manaus;;Боа-Виста;;;X
PROV873;Georgetown;Georgetown;Georgetown;Georgetown;Georgetown;Georgetown;;Джорджтаун;;;X
PROV874;Paramaribo;Paramaribo;Paramaribo;Paramaribo;Paramaribo;Paramaribo;;Парамарибо;;;X
PROV875;Cayenne;Cayenne;Cayenne;Cayenne;Cayenne;Cayenne;;Кайенна;;;X
PROV876;Teresina;Teresina;Teresina;Teresina;Teresina;Teresina;;Макапа;;;X
PROV877;Belйm;Belйm;Belйm;Belйm;Belйm;Belйm;;Маражо;;;X
PROV878;Barreiras;Barreiras;Barreiras;Barreiras;Barreiras;Barreiras;;Мараба;;;X
PROV879;Sгo Luнs;Sгo Luнs;Sгo Luнs;Sгo Luнs;Sгo Luнs;Sгo Luнs;;Белем;;;X
PROV880;Fortaleza;Fortaleza;Fortaleza;Fortaleza;Fortaleza;Fortaleza;;Форталеза;;;X
PROV881;Natal;Natal;Natal;Natal;Natal;Natal;;Ресифи;;;X
PROV882;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;;Салвадор;;;X
PROV883;Goiвnia;Goiвnia;Goiвnia;Goiвnia;Goiвnia;Goiвnia;;Гояния;;;X
PROV884;Vitуria;Vitуria;Vitуria;Vitуria;Vitуria;Vitуria;;Витория;;;X
PROV885;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;;Рио-де-Жанейро;;;X
PROV886;Sгo Paulo;Sгo Paulo;Sгo Paulo;Sгo Paulo;Sгo Paulo;Sгo Paulo;;Сан-Паулу;;;X
PROV887;Belo Horizonte;Belo Horizonte;Belo Horizonte;Belo Horizonte;Belo Horizonte;Belo Horizonte;;Кампинас;;;X
PROV888;Panamб;Panamб;Panamб;Panamб;Panamб;Panamб;;Панама;;;X
PROV889;Balboa;Balboa;Balboa;Balboa;Balboa;Balboa;;Колон;;;X
PROV890;Barranquilla;Barranquilla;Barranquilla;Barranquilla;Barranquilla;Barranquilla;;Медельин;;;X
PROV891;Kingston;Kingston;Kingston;Kingston;Kingston;Kingston;;Ямайка;;;X
PROV892;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;Port-au-Prince;;Порт-о-Пренс;;;X
PROV893;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;Ciudad Trujillo;;Сантьяго;;;X
PROV894;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;Guantanamo Bay Naval Base;;Санто-Доминго;;;X
PROV895;San Juan;San Juan;San Juan;San Juan;San Juan;San Juan;;Пуэрто-Рико;;;X
PROV896;Road Town;Road Town;Road Town;Road Town;Road Town;Road Town;;Виргинские о-ва;;;X
PROV897;Saint John's;Saint John's;Saint John's;Saint John's;Saint John's;Saint John's;;Антигуа;;;X
PROV898;Basse-Terre;Basse-Terre;Basse-Terre;Basse-Terre;Basse-Terre;Basse-Terre;;Гваделупа;;;X
PROV899;Fort-de-France;Fort-de-France;Fort-de-France;Fort-de-France;Fort-de-France;Fort-de-France;;Мартиника;;;X
PROV900;as-Suways;as-Suways;as-Suways;as-Suways;as-Suways;as-Suways;;Суэц;;;X
PROV901;Bur Sa'id;Bur Sa'id;Bur Sa'id;Bur Sa'id;Bur Sa'id;Bur Sa'id;;Порт-Саид;;;X
PROV902;Dumyat;Dumyat;Dumyat;Dumyat;Dumyat;Dumyat;;Аз-Заказик;;;X
PROV903;al-Qahira;al-Qahira;al-Qahira;al-Qahira;al-Qahira;al-Qahira;;Каир;;;X
PROV904;al-Giza;al-Giza;al-Giza;al-Giza;al-Giza;al-Giza;;Танта;;;X
PROV905;al-Fayyum;al-Fayyum;al-Fayyum;al-Fayyum;al-Fayyum;al-Fayyum;;Файюм;;;X
PROV906;Tanta;Tanta;Tanta;Tanta;Tanta;Tanta;;Александрия;;;X
PROV907;al-Iskandariyya;al-Iskandariyya;al-Iskandariyya;al-Iskandariyya;al-Iskandariyya;al-Iskandariyya;;Каттара;;;X
PROV908;Jaйn;Jaйn;Jaйn;Jaйn;Jaйn;Jaйn;;Гараула;;;X
PROV909;Qara;Qara;Qara;Qara;Qara;Qara;;Эль-Аламейн;;;X
PROV910;al-'Alamain;al-'Alamain;al-'Alamain;al-'Alamain;al-'Alamain;al-'Alamain;;Фука;;;X
PROV911;Sidi Abd ar-Rahman;Sidi Abd ar-Rahman;Sidi Abd ar-Rahman;Sidi Abd ar-Rahman;Sidi Abd ar-Rahman;Sidi Abd ar-Rahman;;Мерса-Матрух;;;X
PROV912;Ain al-Qattara;Ain al-Qattara;Ain al-Qattara;Ain al-Qattara;Ain al-Qattara;Ain al-Qattara;;Нибейва;;;X
PROV913;Siwa;Siwa;Siwa;Siwa;Siwa;Siwa;;Рабиа;;;X
PROV914;Marsa Matruh;Marsa Matruh;Marsa Matruh;Marsa Matruh;Marsa Matruh;Marsa Matruh;;Сиди-Баррани;;;X
PROV915;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sidi Barrani;;Саллум;;;X
PROV916;Qasr as-Saqqah;Qasr as-Saqqah;Qasr as-Saqqah;Qasr as-Saqqah;Qasr as-Saqqah;Qasr as-Saqqah;;Бардия;;;X
PROV917;al-Gagbub;al-Gagbub;al-Gagbub;al-Gagbub;al-Gagbub;al-Gagbub;;форт Капуццо;;;X
PROV918;Forte Maddalena;Forte Maddalena;Forte Maddalena;Forte Maddalena;Forte Maddalena;Forte Maddalena;;форт Маддалена;;;X
PROV919;al-Bardiya;al-Bardiya;al-Bardiya;al-Bardiya;al-Bardiya;al-Bardiya;;Тобрук;;;X
PROV920;Tubruq;Tubruq;Tubruq;Tubruq;Tubruq;Tubruq;;Дерна;;;X
PROV921;Bab es-Serir;Bab es-Serir;Bab es-Serir;Bab es-Serir;Bab es-Serir;Bab es-Serir;;Эль-Мекили;;;X
PROV922;Ben Gania;Ben Gania;Ben Gania;Ben Gania;Ben Gania;Ben Gania;;Мсус;;;X
PROV923;Darna;Darna;Darna;Darna;Darna;Darna;;Барка;;;X
